image_filename;mean_color_red;mean_color_green;mean_color_blue
brass_9;146.9108280254777;179.90897883706594;194.936100267105
brass_6;146.46448190945256;211.56128054555788;228.28736503125592
brass_14;149.727;197.2605;214.724
brass_7;138.68331415420022;189.9735327963176;209.47917146144994
brass_1;137.38715535743768;186.99240548126136;204.12068680865116
brass_12;178.73511047070124;208.2245437079731;216.7478386167147
brass_19;193.42597577388963;212.72252131000448;220.67720951099147
brass_17;175.44634236910508;218.0653546230969;224.60155959896028
brass_21;151.90769230769232;196.8953177257525;209.65685618729097
brass_16;171.1639937920331;233.91153647180548;241.9565442317641
brass_3;140.8163347012311;166.24452006806126;182.45891302171955
brass_15;185.44304281345566;213.47018348623854;222.13302752293578
brass_13;170.16258570029382;211.43731635651324;229.3839373163565
brass_20;157.10252156602522;205.01758460517584;216.9867285998673
brass_18;143.9147557328016;202.8903290129611;218.91176470588235
brass_4;153.1920506812462;205.59368220081575;224.57311464028464
brass_8;148.36619333697433;184.38694702348442;200.13052976515564
brass_5;152.6076540136901;200.64903546981955;214.60174237710018
brass_10;185.3508642883413;205.20779698418536;212.68738506803973
brass_11;140.38389988161677;192.4422458988669;209.51750380517504
brass_2;139.6609962310278;176.83406335947845;193.0225119690333
