image_filename;mean_color_red;mean_color_green;mean_color_blue
zinq_5;234.56220681215584;238.12675912706507;240.35590454823577
zinq_9;182.52116802116802;194.32857682857684;198.37497637497637
zinq_21;181.31846318036287;186.12081109925293;185.77972251867664
zinq_8;223.97440600250104;226.38482701125469;227.77807419758233
zinq_2;223.72428884026257;226.55959921686053;228.36980306345734
zinq_1;199.98816528483553;215.17163680128377;223.28222786841403
zinq_6;201.09754277490538;209.2301050050637;211.292415116465
zinq_16;187.96778662971943;192.06027017665397;194.67405611361275
zinq_17;170.8282037675776;180.22923852480764;186.65826479172193
zinq_4;234.37148010822727;237.77001703577514;239.88445736045696
zinq_11;214.07381258023108;216.72721437740694;218.60034231921267
zinq_10;188.09196041365507;196.40209051484487;197.71833648393195
zinq_18;189.59969817015659;197.94755706470477;203.18053197509903
zinq_13;213.06883557342042;217.4099987438764;217.19168446175104
zinq_20;220.31390695347673;221.11255627813907;221.5505252626313
zinq_14;189.26105786951715;195.92830814596388;197.25737191301144
zinq_15;197.85929761368752;203.42255740657362;204.90432237730752
zinq_19;193.13129770992367;196.38142493638676;196.98371501272266
zinq_3;223.732871264629;226.41983865469834;228.39461424838086
zinq_7;199.14500728273183;207.50385715056373;209.3153153153153
